mass_1 mass_2 a_1 a_2 tilt_1 tilt_2 phi_12 phi_jl luminosity_distance dec ra theta_jn psi phase geocent_time
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4265.379785084551 -0.2 1.4 1.9100331834761552 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 1897.2697652894406 -0.2 1.4 1.699842208064181 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4093.42776520466 -0.2 1.4 2.3784210335484883 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 1640.0132940554372 -0.2 1.4 2.9316312209089355 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 1849.749502701929 -0.2 1.4 1.708672519163511 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2308.349183419966 -0.2 1.4 0.9725087835764878 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3061.0484305738305 -0.2 1.4 2.313779333896954 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3785.142743579628 -0.2 1.4 0.3201993072795791 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4120.844720224116 -0.2 1.4 1.200667765716674 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3970.8726325067023 -0.2 1.4 1.0168263785140783 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2462.1142544747304 -0.2 1.4 1.9982846938076362 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3105.762653324028 -0.2 1.4 0.6215810856682222 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3841.3435999426683 -0.2 1.4 0.5681180016947476 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4033.940570542682 -0.2 1.4 1.0643317487384218 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2490.817377761177 -0.2 1.4 1.5727060459867341 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3786.2547355979314 -0.2 1.4 1.9469514859089878 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4337.100576133887 -0.2 1.4 1.6106307500520278 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2335.304058854295 -0.2 1.4 2.718867771402113 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4499.851777299088 -0.2 1.4 0.7619500862662877 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3935.064133901355 -0.2 1.4 1.6077697710222913 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3106.2521242757207 -0.2 1.4 1.1666577249341452 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2283.154352244846 -0.2 1.4 2.201256233262396 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4857.270105091535 -0.2 1.4 1.6201133938572403 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2417.335960380586 -0.2 1.4 0.5990706702002379 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3155.36711607881 -0.2 1.4 1.9216177962440908 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3956.6241546055066 -0.2 1.4 0.42540125667133455 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 1786.0957499515177 -0.2 1.4 1.7325552238630852 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4977.5415043467565 -0.2 1.4 0.82661155962925 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4067.677993270761 -0.2 1.4 0.6872840046128351 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4885.509110088123 -0.2 1.4 1.6883553484083103 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4296.65825201612 -0.2 1.4 0.3367313347824902 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 1275.4045967618977 -0.2 1.4 0.549113760870642 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4052.1084700474826 -0.2 1.4 1.1963381566875697 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3702.5560338680493 -0.2 1.4 1.0577339568288746 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4464.476892299746 -0.2 1.4 1.8813940636377358 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4962.441126844357 -0.2 1.4 2.9585297471987904 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4635.177581502425 -0.2 1.4 0.9098201872397005 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3643.992294268932 -0.2 1.4 0.3902654187179425 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4639.482851715229 -0.2 1.4 1.8324220693111484 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2570.0107724298996 -0.2 1.4 2.5968360117639633 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3097.599726631254 -0.2 1.4 0.8041756572853521 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3833.19199168177 -0.2 1.4 2.134315659232992 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 1907.3595397058602 -0.2 1.4 0.2667059935133562 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2169.4045758020525 -0.2 1.4 1.8600751718935256 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2259.0811482458416 -0.2 1.4 1.8133706564741487 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 851.1300260716628 -0.2 1.4 0.4047136074402604 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2462.3187724134705 -0.2 1.4 1.8742836961293685 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 826.6334441317625 -0.2 1.4 1.8928317106547634 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2542.157436319732 -0.2 1.4 0.8204851789778271 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2417.4213356407477 -0.2 1.4 1.4266436934699975 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4056.412706929973 -0.2 1.4 1.092385490209659 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4828.59610045688 -0.2 1.4 1.968662601769789 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4830.974184806336 -0.2 1.4 0.9403293978270638 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2456.6206321657874 -0.2 1.4 1.0596944616709265 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2459.396562385843 -0.2 1.4 1.952874229832405 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4135.176192308133 -0.2 1.4 2.9344822088044373 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3922.0919834165275 -0.2 1.4 1.9813379052435345 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4429.6327129693 -0.2 1.4 0.6334222206363268 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 857.9329121057953 -0.2 1.4 1.222504350390256 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3412.524592851011 -0.2 1.4 2.2422070728827164 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3803.355492594163 -0.2 1.4 2.0460994265743375 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4900.079859938728 -0.2 1.4 0.7560154008491764 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4507.418126379096 -0.2 1.4 0.3963248823885404 0.0 0.0 0.0
